# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
1.392565901E1,2.343750000E1
1.396832567E1,2.343750000E2
1.401099234E1,3.281250000E2
1.405365901E1,2.109375000E2
1.409632567E1,3.046875000E2
1.413899234E1,2.343750000E1
1.418165901E1,6.328125000E2
1.422432567E1,4.687500000E1
1.426699234E1,2.343750000E1
1.430965901E1,5.625000000E2
1.435232567E1,1.640625000E2
1.439499234E1,4.687500000E1
1.443765901E1,4.687500000E1
1.448032567E1,4.687500000E1
1.452299234E1,4.687500000E1
1.456565901E1,2.343750000E1
1.460832567E1,2.343750000E1
1.465099234E1,4.687500000E1
1.469365901E1,4.687500000E1
1.473632567E1,4.687500000E1
1.477899234E1,4.687500000E1
1.482165901E1,4.687500000E1
1.486432567E1,4.687500000E1
1.490699234E1,4.687500000E1
1.494965901E1,4.687500000E1
1.499232567E1,4.687500000E1
1.503499234E1,6.562500000E2
1.507765901E1,4.687500000E1
1.512032567E1,2.343750000E1
1.516299234E1,4.687500000E1
1.520565901E1,2.343750000E1
1.524832567E1,4.687500000E1
1.529099234E1,4.687500000E1
1.533365901E1,6.093750000E2
1.537632567E1,3.984375000E2
1.541899234E1,4.453125000E2
1.546165901E1,3.281250000E2
1.550432567E1,2.343750000E1
1.554699234E1,6.796875000E2
1.558965901E1,3.281250000E2
1.563232567E1,4.687500000E1
1.567499234E1,2.343750000E1
1.571765901E1,4.218750000E2
1.576032567E1,6.562500000E2
1.580299234E1,2.578125000E2
1.584565901E1,6.562500000E2
1.588832567E1,2.578125000E2
1.593099234E1,5.625000000E2
1.597365901E1,2.343750000E1
1.601632567E1,2.343750000E1
1.605899234E1,6.093750000E2
1.610165901E1,4.687500000E1
1.614432567E1,2.343750000E1
1.618699234E1,4.687500000E1
1.622965901E1,4.687500000E1
1.627232567E1,4.218750000E2
1.631499234E1,4.687500000E1
1.635765901E1,7.031250000E1
1.640032567E1,2.343750000E1
1.644299234E1,4.687500000E1
1.648565901E1,6.328125000E2
1.652832567E1,4.687500000E1
1.657099234E1,6.328125000E2
1.661365901E1,4.687500000E1
1.665632567E1,4.687500000E1
1.669899234E1,4.687500000E1
1.674165901E1,4.687500000E1
1.678432567E1,2.343750000E1
1.682699234E1,4.687500000E1
1.686965901E1,2.343750000E1
1.691232567E1,4.687500000E1
1.695499234E1,2.343750000E1
1.699765901E1,7.265625000E2
1.704032567E1,2.109375000E2
1.708299234E1,4.687500000E1
1.712565901E1,7.031250000E1
1.716832567E1,5.390625000E2
1.721099234E1,4.687500000E1
1.725365901E1,5.625000000E2
1.729632567E1,4.687500000E1
1.733899234E1,1.171875000E2
1.738165901E1,7.031250000E1
1.742432567E1,4.687500000E1
1.746699234E1,4.687500000E1
1.750965901E1,4.687500000E1
1.755232567E1,7.031250000E1
1.759499234E1,7.031250000E1
1.763765901E1,4.687500000E1
1.768032567E1,5.156250000E2
1.772299234E1,4.921875000E2
1.776565901E1,2.343750000E1
1.780832567E1,2.343750000E1
1.785099234E1,4.687500000E1
1.789365901E1,7.265625000E2
1.793632567E1,4.687500000E1
1.797899234E1,7.265625000E2
1.802165901E1,4.687500000E1
1.806432567E1,4.687500000E1
1.810699234E1,2.343750000E1
1.814965901E1,5.859375000E2
1.819232567E1,4.687500000E1
1.823499234E1,4.687500000E1
1.827765901E1,4.687500000E1
1.832032567E1,2.812500000E2
1.836299234E1,4.687500000E1
1.840565901E1,2.812500000E2
1.844832567E1,4.687500000E1
1.849099234E1,4.687500000E1
1.853365901E1,4.687500000E1
1.857632567E1,2.343750000E1
1.861899234E1,4.687500000E1
1.866165901E1,4.687500000E1
1.870432567E1,4.453125000E2
1.874699234E1,4.687500000E1
1.878965901E1,4.687500000E1
1.883232567E1,4.218750000E2
1.887499234E1,2.343750000E1
1.891765901E1,4.687500000E1
1.896032567E1,4.687500000E1
1.900299234E1,4.921875000E2
1.904565901E1,2.343750000E1
1.908832567E1,4.687500000E1
1.913099234E1,2.343750000E1
1.917365901E1,2.343750000E1
1.921632567E1,2.343750000E1
1.925899234E1,2.343750000E1
1.930165901E1,2.343750000E1
1.934432567E1,2.343750000E1
1.938699234E1,4.687500000E1
1.942965901E1,4.687500000E1
1.947232567E1,2.343750000E1
1.951499234E1,2.343750000E1
1.955765901E1,2.343750000E1
1.960032567E1,2.343750000E1
1.964299234E1,2.343750000E1
1.968565901E1,2.343750000E1
1.972832567E1,2.343750000E1
1.977099234E1,2.343750000E1
1.981365901E1,2.343750000E1
1.985632567E1,3.515625000E2
1.989899234E1,4.687500000E1
1.994165901E1,4.687500000E1
1.998432567E1,4.687500000E1
2.002699234E1,2.343750000E1
2.006965901E1,2.343750000E1
2.011232567E1,2.343750000E1
2.015499234E1,4.687500000E1
2.019765901E1,5.390625000E2
2.024032567E1,2.343750000E1
2.028299234E1,2.343750000E1
2.032565901E1,4.687500000E1
2.036832567E1,4.687500000E1
2.041099234E1,2.343750000E1
2.045365901E1,4.687500000E1
2.049632567E1,2.343750000E1
2.053899234E1,4.687500000E1
2.058165901E1,4.687500000E1
2.062432567E1,4.687500000E1
2.066699234E1,4.687500000E1
2.070965901E1,2.343750000E1
2.075232567E1,4.687500000E1
2.079499234E1,4.687500000E1
2.083765901E1,4.687500000E1
2.088032567E1,4.687500000E1
2.092299234E1,4.687500000E1
2.096565901E1,4.453125000E2
2.100832567E1,4.453125000E2
2.105099234E1,2.343750000E2
2.109365901E1,4.687500000E1
2.113632567E1,9.375000000E2
2.117899234E1,2.343750000E1
2.122165901E1,2.343750000E1
2.126432567E1,2.343750000E1
2.130699234E1,2.343750000E1
2.134965901E1,2.343750000E1
2.139232567E1,4.687500000E1
2.143499234E1,2.343750000E1
2.147765901E1,4.687500000E1
2.152032567E1,4.687500000E1
2.156299234E1,7.031250000E1
2.160565901E1,2.343750000E1
2.164832567E1,4.687500000E1
2.169099234E1,4.687500000E1
2.173365901E1,2.343750000E1
2.177632567E1,2.343750000E1
2.181899234E1,2.343750000E1
2.186165901E1,2.343750000E1
2.190432567E1,2.343750000E1
2.194699234E1,2.343750000E1
2.198965901E1,2.343750000E1
2.203232567E1,2.343750000E1
2.207499234E1,4.687500000E1
2.211765901E1,2.343750000E1
2.216032567E1,4.687500000E1
2.220299234E1,4.687500000E1
2.224565901E1,2.343750000E1
2.228832567E1,2.343750000E1
2.233099234E1,4.687500000E1
2.237365901E1,4.687500000E1
2.241632567E1,2.343750000E1
2.245899234E1,2.343750000E1
2.250165901E1,2.343750000E1
2.254432567E1,6.328125000E2
2.258699234E1,4.687500000E1
2.262965901E1,5.859375000E2
2.267232567E1,4.687500000E1
2.271499234E1,4.687500000E1
