"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.750771000E-1,4.137312174E-1,5.339169502E-1,7.227478027E-1
5.800771000E-1,3.425273895E-1,3.929152489E-1,6.430892944E-1
5.850771000E-1,1.900610924E-1,2.853126526E-1,6.592588425E-1
5.900771000E-1,6.562435627E-2,2.737517357E-1,6.510763168E-1
5.950771000E-1,4.540348053E-2,2.543339729E-1,5.886545181E-1
6.000771000E-1,1.209784746E-1,1.833972931E-1,4.849529266E-1
6.050771000E-1,2.451003790E-1,9.253692627E-2,3.370018005E-1
6.100771000E-1,3.285632133E-1,4.093647003E-3,1.412544250E-1
6.150771000E-1,3.607937098E-1,-6.336355209E-2,-9.088134766E-2
6.200771000E-1,3.177503347E-1,-5.407571793E-2,-2.936568260E-1
6.250771000E-1,1.927248240E-1,1.671123505E-2,-3.719081879E-1
6.300771000E-1,3.687500954E-2,9.511184692E-2,-3.777747154E-1
6.350771000E-1,-4.317450523E-2,1.383876801E-1,-3.624696732E-1
6.400771000E-1,-3.411436081E-2,1.066169739E-1,-3.469476700E-1
6.450771000E-1,4.521524906E-2,5.913400650E-2,-3.601226807E-1
6.500771000E-1,6.099545956E-2,1.711034775E-2,-3.657426834E-1
6.550771000E-1,1.069808006E-2,-1.106214523E-2,-3.184080124E-1
6.600771000E-1,8.712291718E-3,1.166677475E-2,-2.720208168E-1
6.650771000E-1,2.296960354E-2,2.677917480E-2,-1.983680725E-1
6.700771000E-1,5.293869972E-2,1.283121109E-2,-7.246017456E-3
6.750771000E-1,1.534111500E-1,3.941059113E-3,1.603698730E-1
6.800771000E-1,2.359350920E-1,-1.399946213E-2,2.120103836E-1
6.850771000E-1,1.961156130E-1,-4.218339920E-2,1.574707031E-1
6.900771000E-1,1.226086617E-1,-9.823226929E-2,3.131484985E-2
6.950771000E-1,1.624420881E-1,-2.069702148E-1,-1.807355881E-1
7.000771000E-1,3.058233261E-1,-2.969427109E-1,-3.539705276E-1
7.050771000E-1,4.254230261E-1,-3.399600983E-1,-5.297508240E-1
7.100771000E-1,5.606762171E-1,-3.370060921E-1,-7.138223648E-1
7.150771000E-1,6.621693373E-1,-2.955894470E-1,-9.083061218E-1
7.200771000E-1,7.248899937E-1,-2.460227013E-1,-1.116836548E0
7.250771000E-1,7.109915018E-1,-1.533789635E-1,-1.285244942E0
7.300771000E-1,7.823097706E-1,-9.523725510E-2,-1.454325199E0
7.350771000E-1,9.115576744E-1,-1.005549431E-1,-1.578401089E0
7.400771000E-1,9.516333342E-1,-1.103029251E-1,-1.541232109E0
7.450771000E-1,8.966593742E-1,-1.081428528E-1,-1.397928238E0
7.500771000E-1,8.391556740E-1,9.995603561E-2,-1.164208412E0
7.550771000E-1,6.726278067E-1,2.018003464E-1,-9.362015724E-1
7.600771000E-1,3.729122877E-1,3.563022614E-2,-7.653284073E-1
7.650771000E-1,2.269494534E-2,-2.036385536E-1,-7.198314667E-1
7.700771000E-1,-3.196934462E-1,-2.977972031E-1,-6.284160614E-1
7.750771000E-1,-4.829204082E-1,-1.306796074E-1,-3.934049606E-1
7.800771000E-1,-4.200943708E-1,-7.748651505E-2,-6.801795959E-2
7.850771000E-1,-5.498998165E-1,2.988233566E-1,-8.098888397E-2
7.900771000E-1,-9.278969765E-1,8.522310257E-1,-3.595480919E-1
7.950771000E-1,-1.277558208E0,1.450109959E0,-6.893773079E-1
8.000771000E-1,-1.468362570E0,1.715891361E0,-1.043547630E0
8.050771000E-1,-1.516089797E0,1.753914833E0,-1.069430351E0
8.100771000E-1,-1.479630828E0,1.502733707E0,-9.198904037E-1
8.150771000E-1,-1.490632892E0,1.290813923E0,-8.032240868E-1
8.200771000E-1,-1.455909133E0,1.150473595E0,-6.606540680E-1
8.250771000E-1,-1.347697735E0,1.087400913E0,-5.106329918E-1
8.300771000E-1,-1.208265781E0,1.064899445E0,-3.432164192E-1
8.350771000E-1,-1.023886919E0,1.034341335E0,-1.534652710E-1
8.400771000E-1,-8.617720604E-1,9.918017387E-1,3.616189957E-2
8.450771000E-1,-7.742762566E-1,9.340119362E-1,2.012691498E-1
8.500771000E-1,-7.446415424E-1,8.804163933E-1,3.639669418E-1
8.550771000E-1,-7.599785328E-1,8.686695099E-1,4.718523026E-1
8.600771000E-1,-7.553203106E-1,8.863205910E-1,4.977836609E-1
8.650771000E-1,-7.280707359E-1,8.810796738E-1,4.843959808E-1
8.700771000E-1,-7.569508553E-1,8.148846626E-1,4.765810966E-1
8.750771000E-1,-7.783689499E-1,6.965265274E-1,5.452136993E-1
8.800771000E-1,-7.055258751E-1,4.774475098E-1,6.989979744E-1
8.850771000E-1,-4.511520863E-1,2.236852646E-1,9.177560806E-1
8.900771000E-1,-1.136765480E-1,-3.626728058E-2,1.108616352E0
8.950771000E-1,1.492657661E-1,-2.639298439E-1,1.234418869E0
9.000771000E-1,3.497226238E-1,-4.098534584E-1,1.343121052E0
9.050771000E-1,3.937139511E-1,-4.334120750E-1,1.342127323E0
9.100771000E-1,3.450443745E-1,-3.584375381E-1,1.253098965E0
9.150771000E-1,2.361781597E-1,-2.621383667E-1,1.149559975E0
9.200771000E-1,1.606774330E-1,-1.854000092E-1,1.071544647E0
9.250771000E-1,1.313962936E-1,-1.509342194E-1,1.007345200E0
9.300771000E-1,1.500613689E-1,-1.733970642E-1,1.002299309E0
9.350771000E-1,1.525266171E-1,-2.313518524E-1,1.032682419E0
9.400771000E-1,1.793489456E-1,-2.992920876E-1,1.125713825E0
9.450771000E-1,2.104861736E-1,-4.018406868E-1,1.205288410E0
9.500771000E-1,2.364718914E-1,-5.039496422E-1,1.322697639E0
9.550771000E-1,2.470612526E-1,-6.251344681E-1,1.403596401E0
9.600771000E-1,3.121638298E-1,-7.365417480E-1,1.426213741E0
9.650771000E-1,3.594248295E-1,-8.067216873E-1,1.424082279E0
9.700771000E-1,2.875075340E-1,-9.020171165E-1,1.423714161E0
9.750771000E-1,1.629228592E-1,-1.036283970E0,1.402799129E0
9.800771000E-1,1.276869774E-1,-1.156720161E0,1.328064442E0
9.850771000E-1,2.369263172E-1,-1.205950737E0,1.399620056E0
9.900771000E-1,4.180340767E-1,-1.143719196E0,1.564503193E0
9.950771000E-1,6.071207523E-1,-1.073269367E0,1.558970451E0
1.000077100E0,7.648816109E-1,-9.804883003E-1,1.512687683E0
1.005077100E0,8.153355122E-1,-9.111809731E-1,1.570952892E0
1.010077100E0,7.975044250E-1,-8.749179840E-1,1.570771217E0
1.015077100E0,7.228212357E-1,-8.064789772E-1,1.314959526E0
1.020077100E0,8.537689447E-1,-8.325514793E-1,6.840496063E-1
1.025077100E0,9.353892803E-1,-8.861665726E-1,-5.996751785E-1
1.030077100E0,9.426467419E-1,-1.002381802E0,-2.175317287E0
1.035077100E0,9.789636135E-1,-1.051006317E0,-1.947945595E0
1.040077100E0,9.898874760E-1,-1.003528595E0,-1.281719208E0
1.045077100E0,1.049407721E0,-8.698072433E-1,-5.565876961E-1
1.050077100E0,1.128854513E0,-7.237100601E-1,-1.205778122E-2
1.055077100E0,1.146002769E0,-5.983748436E-1,3.286323547E-1
1.060077100E0,1.177844048E0,-5.085721016E-1,4.145154953E-1
1.065077100E0,1.137665629E0,-4.818773270E-1,3.685293198E-1
1.070077100E0,1.082246661E0,-4.908070564E-1,3.267397881E-1
1.075077100E0,1.032238483E0,-5.042982101E-1,2.148756981E-1
1.080077100E0,9.479435682E-1,-5.498242378E-1,1.162195206E-2
1.085077100E0,8.589165211E-1,-5.978369713E-1,-1.594920158E-1
1.090077100E0,7.795708179E-1,-6.477727890E-1,-1.684112549E-1
1.095077100E0,6.763305664E-1,-6.994204521E-1,-1.542673111E-1
1.100077100E0,5.906486511E-1,-7.410941124E-1,-5.595541000E-2
1.105077100E0,5.880684853E-1,-7.960581779E-1,3.611850739E-2
1.110077100E0,6.082806587E-1,-7.945332527E-1,-5.405521393E-2
1.115077100E0,5.756828785E-1,-6.986112595E-1,-1.991281509E-1
1.120077100E0,5.398375988E-1,-5.816507339E-1,-3.002858162E-1
1.125077100E0,5.408875942E-1,-4.573097229E-1,-3.990969658E-1
1.130077100E0,5.095562935E-1,-3.178596497E-1,-4.633798599E-1
1.135077100E0,3.896315098E-1,-2.304162979E-1,-4.349937439E-1
1.140077100E0,2.262220383E-1,-1.527791023E-1,-3.775496483E-1
1.145077100E0,6.207871437E-2,-7.939481735E-2,-2.960252762E-1
1.150077100E0,-4.154586792E-2,1.403808594E-2,-2.537145615E-1
1.155077100E0,-1.351535320E-1,9.946441650E-2,-2.553434372E-1
1.160077100E0,-1.990242004E-1,1.570153236E-1,-2.246766090E-1
1.165077100E0,-2.762553692E-1,1.920447350E-1,-1.336073875E-1
1.170077100E0,-2.914104462E-1,2.088809013E-1,-4.899597168E-2
1.175077100E0,-2.536704540E-1,2.806625366E-1,2.665948868E-2
1.180077100E0,-1.501355171E-1,3.662395477E-1,1.165452003E-1
1.185077100E0,-6.587839127E-2,4.187936783E-1,2.300906181E-1
1.190077100E0,-1.685738564E-2,4.399738312E-1,3.266649246E-1
1.195077100E0,9.427309036E-3,4.067335129E-1,3.665604591E-1
1.200077100E0,1.782512665E-2,3.596744537E-1,3.598513603E-1
1.205077100E0,-5.874252319E-2,3.306260109E-1,3.714108467E-1
1.210077100E0,-2.313318253E-1,3.112607002E-1,4.003071785E-1
1.215077100E0,-3.521606922E-1,3.362441063E-1,5.190949440E-1
1.220077100E0,-3.758170605E-1,4.080510139E-1,6.680483818E-1
1.225077100E0,-4.026238918E-1,4.492921829E-1,8.154621124E-1
1.230077100E0,-4.639542103E-1,4.619078636E-1,9.919672012E-1
1.235077100E0,-5.517215729E-1,4.687218666E-1,1.148193836E0
