# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
7.125000000E3,4.091816177E-2
7.148437500E3,4.783033838E-2
7.171875000E3,4.300236010E-2
7.195312500E3,5.413164189E-2
7.218750000E3,5.652333020E-2
7.242187500E3,4.892075657E-2
7.265625000E3,5.583212725E-2
7.289062500E3,5.122114651E-2
7.312500000E3,3.877203101E-2
7.335937500E3,6.208950017E-2
7.359375000E3,5.749683464E-2
7.382812500E3,5.231194723E-2
7.406250000E3,3.236827627E-2
7.429687500E3,3.881098623E-2
7.453125000E3,3.665863836E-2
7.476562500E3,4.908736646E-2
7.500000000E3,5.435380155E-2
7.523437500E3,4.444898265E-2
7.546875000E3,3.853380978E-2
7.570312500E3,4.325545607E-2
7.593750000E3,4.147627116E-2
7.617187500E3,3.668354001E-2
7.640625000E3,3.754838814E-2
7.664062500E3,3.884037104E-2
7.687500000E3,4.619072624E-2
7.710937500E3,2.773275937E-2
7.734375000E3,4.288849334E-2
7.757812500E3,3.905325596E-2
7.781250000E3,5.327546324E-2
7.804687500E3,3.863763053E-2
7.828125000E3,3.711079244E-2
7.851562500E3,3.845344135E-2
7.875000000E3,4.142108468E-2
7.898437500E3,3.945233108E-2
7.921875000E3,3.637967772E-2
7.945312500E3,3.803759257E-2
7.968750000E3,3.727029603E-2
7.992187500E3,3.899702695E-2
8.015625000E3,3.618608396E-2
8.039062500E3,4.188401282E-2
8.062500000E3,4.095963158E-2
8.085937500E3,3.714222031E-2
8.109375000E3,3.504720351E-2
8.132812500E3,3.959300201E-2
8.156250000E3,4.052369582E-2
8.179687500E3,3.708777858E-2
8.203125000E3,3.932741790E-2
8.226562500E3,3.936225739E-2
8.250000000E3,4.472523338E-2
8.273437500E3,3.457242491E-2
8.296875000E3,3.851731231E-2
8.320312500E3,3.706096770E-2
8.343750000E3,3.441404379E-2
8.367187500E3,3.492524111E-2
8.390625000E3,3.768365756E-2
8.414062500E3,3.800969564E-2
8.437500000E3,3.278699576E-2
8.460937500E3,3.887545078E-2
8.484375000E3,3.542186430E-2
8.507812500E3,3.750524217E-2
8.531250000E3,3.003127122E-2
8.554687500E3,3.575075943E-2
8.578125000E3,4.279487848E-2
8.601562500E3,3.566977401E-2
8.625000000E3,3.665358203E-2
8.648437500E3,3.007109266E-2
8.671875000E3,2.966938378E-2
8.695312500E3,3.687110023E-2
8.718750000E3,3.787400080E-2
8.742187500E3,3.810159432E-2
8.765625000E3,2.785624254E-2
8.789062500E3,3.594522640E-2
8.812500000E3,2.700320001E-2
8.835937500E3,3.188221241E-2
8.859375000E3,3.797011746E-2
8.882812500E3,3.939814460E-2
8.906250000E3,3.726811691E-2
8.929687500E3,3.741018446E-2
8.953125000E3,3.224137507E-2
8.976562500E3,3.825367436E-2
9.000000000E3,3.642563355E-2
9.023437500E3,3.649039176E-2
9.046875000E3,3.859007527E-2
9.070312500E3,3.073131241E-2
9.093750000E3,3.765813047E-2
9.117187500E3,3.505228735E-2
9.140625000E3,3.372084237E-2
9.164062500E3,3.842028779E-2
