"Time (s)","Illuminance (lx)"
5.360824052E1,1.631000061E2
5.380822390E1,1.791500092E2
5.400823854E1,1.451125031E2
5.420822052E1,6.358750153E1
5.440823614E1,3.378750229E1
5.460821708E1,3.258750153E1
5.480823057E1,3.493750000E1
5.500821244E1,2.177499962E1
5.520822729E1,1.136250019E1
5.540820755E1,1.276249981E1
5.560822604E1,1.490000057E1
5.580820291E1,1.550000000E1
5.600821968E1,1.540000057E1
5.620819947E1,1.544999981E1
5.640821203E1,1.500000000E1
5.660819656E1,1.550000000E1
5.680820833E1,3.966250229E1
5.700819145E1,5.287500000E1
5.720820312E1,4.329999924E1
5.740818734E1,4.036249924E1
5.760820249E1,3.513750076E1
5.780818364E1,3.173750114E1
5.800819802E1,4.404999924E1
5.820817744E1,5.072500229E1
5.840819244E1,5.302500153E1
5.860818494E1,9.183750153E1
5.880818947E1,1.458125000E2
5.900817900E1,1.733625031E2
5.920818145E1,1.999250031E2
5.940816567E1,2.843374939E2
5.960817999E1,2.576375122E2
5.980817765E1,1.978375092E2
6.000815900E1,1.799375000E2
6.020821536E1,1.478000031E2
6.040817312E1,1.130250015E2
6.060816958E1,1.131250000E2
6.080816775E1,1.213375015E2
6.100816729E1,1.232874985E2
6.120816302E1,1.261750031E2
6.140815838E1,1.285625000E2
6.160815765E1,1.129250031E2
6.180815536E1,8.456250000E1
6.200813843E1,1.102249985E2
6.220815453E1,1.544750061E2
6.240813411E1,1.463625031E2
6.260815145E1,1.377375031E2
6.280813260E1,1.363375092E2
6.300814697E1,1.349000092E2
6.320812619E1,1.418750000E2
6.340814546E1,1.430625000E2
6.360813343E1,1.549750061E2
6.380813604E1,1.697750092E2
6.400811942E1,1.650000000E2
6.420813036E1,1.702750092E2
6.440811447E1,1.876125031E2
6.460812947E1,1.869750061E2
6.480811031E1,1.880124969E2
6.500812671E1,2.262875061E2
6.520810687E1,2.637124939E2
6.540812083E1,2.425375061E2
6.560810656E1,2.462750092E2
6.580811911E1,2.437250061E2
6.600809854E1,2.061500092E2
6.620811296E1,1.679375000E2
6.640809734E1,1.604625092E2
6.660810963E1,1.311625061E2
6.680809239E1,1.074875031E2
6.700810874E1,1.067874985E2
6.720808864E1,1.250750046E2
6.740810176E1,1.282624969E2
6.760808385E1,1.259749985E2
6.780809442E1,1.245750046E2
6.800807984E1,9.687500000E1
6.820809630E1,9.772499847E1
6.840807562E1,1.093875046E2
6.860809161E1,1.167125015E2
6.880807161E1,1.233875046E2
6.900808994E1,1.276250000E2
6.920806739E1,1.316125031E2
6.940808447E1,1.301125031E2
6.960806473E1,1.334499969E2
6.980807359E1,1.336999969E2
