"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.700771000E-1,7.588118883E-1,2.615983784E-1,-1.003643274E-1,-5.879607201E-1,8.128086350E1,3.142313280E1,8.934419106E0,-7.302219029E1
3.750771000E-1,7.591443341E-1,2.629638314E-1,-9.966385365E-2,-5.870409012E-1,8.122235554E1,3.151938277E1,9.057323312E0,-7.286805807E1
3.800771000E-1,7.595730240E-1,2.644461691E-1,-9.884569794E-2,-5.859578252E-1,8.114685786E1,3.162142369E1,9.192243599E0,-7.268723618E1
3.850771000E-1,7.599349166E-1,2.657568753E-1,-9.808389843E-2,-5.850228667E-1,8.108307876E1,3.170934828E1,9.315625085E0,-7.252948659E1
3.900771000E-1,7.603457646E-1,2.670408785E-1,-9.728229791E-2,-5.840373635E-1,8.101062157E1,3.179300859E1,9.438411757E0,-7.236364999E1
3.950771000E-1,7.607253173E-1,2.682311237E-1,-9.642196447E-2,-5.831396580E-1,8.094363591E1,3.186307587E1,9.562951710E0,-7.220887108E1
4.000771000E-1,7.610013369E-1,2.692983449E-1,-9.555482864E-2,-5.824299455E-1,8.089489353E1,3.191893897E1,9.686675067E0,-7.208077386E1
4.050771000E-1,7.613917022E-1,2.702348530E-1,-9.465395659E-2,-5.816325545E-1,8.082591727E1,3.196098802E1,9.800453662E0,-7.194001304E1
4.100771000E-1,7.618781849E-1,2.711193860E-1,-9.368670732E-2,-5.807397962E-1,8.073988908E1,3.199496326E1,9.912494366E0,-7.178433394E1
4.150771000E-1,7.622699187E-1,2.718772888E-1,-9.273926914E-2,-5.800230503E-1,8.067056076E1,3.201608372E1,1.002078830E1,-7.165446240E1
4.200771000E-1,7.626029037E-1,2.725131512E-1,-9.182408452E-2,-5.794322491E-1,8.061159082E1,3.202607097E1,1.012260844E1,-7.154370753E1
4.250771000E-1,7.629979998E-1,2.730223835E-1,-9.087756276E-2,-5.788213015E-1,8.054157488E1,3.202190944E1,1.021739567E1,-7.142990328E1
4.300771000E-1,7.633252751E-1,2.733825743E-1,-8.996918797E-2,-5.783615112E-1,8.048353937E1,3.200388675E1,1.030432056E1,-7.133903477E1
4.350771000E-1,7.636932880E-1,2.737962008E-1,-8.896797895E-2,-5.778346658E-1,8.041823837E1,3.198610710E1,1.040059594E1,-7.123612650E1
4.400771000E-1,7.640864414E-1,2.741040885E-1,-8.797737211E-2,-5.773203969E-1,8.034842773E1,3.195854195E1,1.048902198E1,-7.113586701E1
4.450771000E-1,7.645021221E-1,2.742870450E-1,-8.705215901E-2,-5.768232346E-1,8.027456219E1,3.192273568E1,1.056361781E1,-7.104047263E1
4.500771000E-1,7.649558850E-1,2.742048800E-1,-8.627165854E-2,-5.763778090E-1,8.019386499E1,3.186936229E1,1.060885093E1,-7.095755082E1
4.550771000E-1,7.654782084E-1,2.738309205E-1,-8.559122682E-2,-5.759634376E-1,8.010089135E1,3.179304098E1,1.062596415E1,-7.088310853E1
4.600771000E-1,7.661263797E-1,2.734432518E-1,-8.493950218E-2,-5.753819942E-1,7.998539182E1,3.171924442E1,1.063314051E1,-7.078629054E1
4.650771000E-1,7.667722159E-1,2.731197178E-1,-8.431627601E-2,-5.747666955E-1,7.987017022E1,3.165413759E1,1.064116338E1,-7.068532863E1
4.700771000E-1,7.673257605E-1,2.728789449E-1,-8.374942839E-2,-5.742249489E-1,7.977130381E1,3.160009108E1,1.065306399E1,-7.059584056E1
4.750771000E-1,7.680742270E-1,2.727387547E-1,-8.309338987E-2,-5.733855963E-1,7.963746064E1,3.155397914E1,1.066842985E1,-7.046214866E1
4.800771000E-1,7.688825139E-1,2.726320624E-1,-8.240725100E-2,-5.724512935E-1,7.949270928E1,3.151050735E1,1.068528007E1,-7.031443312E1
4.850771000E-1,7.696330661E-1,2.725006640E-1,-8.176655322E-2,-5.715965033E-1,7.935810014E1,3.146660587E1,1.069963567E1,-7.017925483E1
4.900771000E-1,7.704258710E-1,2.724204659E-1,-8.112645894E-2,-5.706571341E-1,7.921570577E1,3.142896605E1,1.071439721E1,-7.003223639E1
4.950771000E-1,7.710909143E-1,2.724319398E-1,-8.054713160E-2,-5.698348880E-1,7.909609335E1,3.140306823E1,1.073484257E1,-6.990278381E1
5.000771000E-1,7.715916564E-1,2.724531591E-1,-8.002524823E-2,-5.692201257E-1,7.900593171E1,3.137938444E1,1.075898009E1,-6.980369362E1
