# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
2.010855877E2,2.226562500E3
2.011282544E2,5.390625000E2
2.011709210E2,5.156250000E2
2.012135877E2,4.921875000E2
2.012562544E2,3.750000000E2
2.012989210E2,3.750000000E2
2.013415877E2,3.984375000E2
2.013842544E2,5.859375000E2
2.014269210E2,7.734375000E2
2.014695877E2,3.750000000E2
2.015122544E2,7.265625000E2
2.015549210E2,5.859375000E2
2.015975877E2,5.859375000E2
2.016402544E2,8.437500000E2
2.016829210E2,5.859375000E2
2.017255877E2,5.859375000E2
2.017682544E2,5.625000000E2
2.018109210E2,5.859375000E2
2.018535877E2,5.859375000E2
2.018962544E2,5.859375000E2
2.019389210E2,7.031250000E2
2.019815877E2,6.328125000E2
2.020242544E2,2.812500000E2
2.020669210E2,6.093750000E2
2.021095877E2,7.500000000E2
2.021522544E2,7.734375000E2
2.021949210E2,2.812500000E2
2.022375877E2,6.796875000E2
2.022802544E2,5.390625000E2
2.023229210E2,3.281250000E2
2.023655877E2,6.093750000E2
2.024082544E2,7.265625000E2
2.024509210E2,7.031250000E2
2.024935877E2,3.515625000E2
2.025362544E2,5.390625000E2
2.025789210E2,5.390625000E2
2.026215877E2,2.812500000E2
2.026642544E2,2.812500000E2
2.027069210E2,2.812500000E2
2.027495877E2,6.328125000E2
2.027922544E2,2.601562500E3
2.028349210E2,2.625000000E3
2.028775877E2,6.328125000E2
2.029202544E2,6.093750000E2
2.029629210E2,5.156250000E2
2.030055877E2,3.093750000E3
2.030482544E2,3.093750000E3
2.030909210E2,3.046875000E2
2.031335877E2,1.125000000E3
2.031762544E2,1.125000000E3
2.032189210E2,5.156250000E2
2.032615877E2,4.687500000E1
2.033042544E2,1.406250000E2
2.033469210E2,5.156250000E2
2.033895877E2,6.796875000E2
2.034322544E2,4.687500000E2
2.034749210E2,3.750000000E2
2.035175877E2,3.515625000E2
2.035602544E2,3.515625000E2
2.036029210E2,3.984375000E2
2.036455877E2,3.750000000E2
2.036882544E2,3.750000000E2
2.037309210E2,3.515625000E2
2.037735877E2,3.515625000E2
2.038162544E2,8.671875000E2
2.038589210E2,9.140625000E2
2.039015877E2,8.906250000E2
2.039442544E2,8.671875000E2
2.039869210E2,8.671875000E2
2.040295877E2,8.437500000E2
2.040722544E2,4.218750000E2
2.041149210E2,5.156250000E2
2.041575877E2,4.921875000E2
2.042002544E2,5.156250000E2
2.042429210E2,4.921875000E2
2.042855877E2,3.984375000E2
2.043282544E2,3.750000000E2
2.043709210E2,4.921875000E2
2.044135877E2,4.687500000E1
2.044562544E2,2.812500000E2
2.044989210E2,5.859375000E2
2.045415877E2,6.093750000E2
2.045842544E2,6.093750000E2
2.046269210E2,6.093750000E2
2.046695877E2,5.859375000E2
2.047122544E2,5.859375000E2
2.047549210E2,7.500000000E2
2.047975877E2,9.140625000E2
2.048402544E2,9.375000000E2
2.048829210E2,7.265625000E2
2.049255877E2,7.265625000E2
2.049682544E2,8.203125000E2
2.050109210E2,2.343750000E2
2.050535877E2,5.390625000E2
2.050962544E2,5.156250000E2
2.051389210E2,7.265625000E2
2.051815877E2,4.453125000E2
2.052242544E2,4.453125000E2
2.052669210E2,7.265625000E2
2.053095877E2,7.265625000E2
2.053522544E2,6.093750000E2
2.053949210E2,5.625000000E2
2.054375877E2,4.687500000E1
2.054802544E2,3.984375000E2
2.055229210E2,3.750000000E2
2.055655877E2,3.750000000E2
2.056082544E2,3.750000000E2
2.056509210E2,7.734375000E2
2.056935877E2,3.750000000E2
2.057362544E2,3.750000000E2
2.057789210E2,3.984375000E2
2.058215877E2,3.750000000E2
2.058642544E2,5.390625000E2
2.059069210E2,5.156250000E2
