"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.867499731E1,5.336068011E1,-6.271545960E0,3.407876809E1,0.000000000E0,NaN,9.935046196E0,2.744822979E0
7.967545518E1,5.336067963E1,-6.271546040E0,3.414908090E1,0.000000000E0,NaN,9.935046196E0,2.689556122E0
8.067551164E1,5.336067961E1,-6.271546020E0,3.414859265E1,0.000000000E0,NaN,9.935046196E0,2.697456121E0
8.167543356E1,5.336067962E1,-6.271546080E0,3.414010871E1,0.000000000E0,NaN,9.935046196E0,2.766816139E0
8.267532559E1,5.336067912E1,-6.271546220E0,3.418710606E1,0.000000000E0,NaN,9.935046196E0,2.817936659E0
8.367530684E1,5.336067909E1,-6.271546310E0,3.419388091E1,0.000000000E0,NaN,9.972399712E0,2.939337254E0
8.467545658E1,5.336067910E1,-6.271546350E0,3.418332179E1,0.000000000E0,NaN,1.003817558E1,2.926688194E0
8.567500283E1,5.336067896E1,-6.271546350E0,3.419729895E1,0.000000000E0,NaN,9.971738815E0,2.966796875E0
8.667512340E1,5.336068036E1,-6.271546280E0,3.399728569E1,0.000000000E0,NaN,9.952774048E0,2.870827436E0
8.767477877E1,5.336068048E1,-6.271546300E0,3.399514934E1,0.000000000E0,NaN,9.938838005E0,2.891282797E0
8.867486658E1,5.336068055E1,-6.271546310E0,3.398037877E1,0.000000000E0,NaN,9.935046196E0,2.786058426E0
8.967550762E1,5.336068057E1,-6.271546390E0,3.397128445E1,0.000000000E0,NaN,9.935046196E0,2.835179329E0
9.067534668E1,5.336068064E1,-6.271546380E0,3.395559837E1,0.000000000E0,NaN,9.935046196E0,2.785906315E0
9.167489403E1,5.336068074E1,-6.271547100E0,3.388443069E1,0.000000000E0,NaN,9.935046196E0,2.784178734E0
9.267496106E1,5.336068065E1,-6.271547320E0,3.386782902E1,0.000000000E0,NaN,9.935046196E0,2.889179707E0
9.374451026E1,5.336056850E1,-6.272896300E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
9.903626059E1,5.336084157E1,-6.271464900E0,3.535592953E1,0.000000000E0,NaN,1.215977669E1,1.699646950E1
1.000365099E2,5.336074243E1,-6.271474850E0,1.975144668E1,0.000000000E0,NaN,5.860195160E0,7.646531105E0
1.010367292E2,5.336074381E1,-6.271476270E0,1.918808990E1,0.000000000E0,NaN,6.330478668E0,7.535240173E0
1.020365243E2,5.336072866E1,-6.271472520E0,1.837096640E1,0.000000000E0,NaN,5.722632408E0,6.593894958E0
1.030358707E2,5.336073303E1,-6.271478390E0,1.854283301E1,0.000000000E0,NaN,5.245660305E0,5.794777393E0
1.040364973E2,5.336071712E1,-6.271489440E0,1.870451850E1,0.000000000E0,NaN,5.160327911E0,5.668073654E0
1.050358655E2,5.336070818E1,-6.271501990E0,1.949705659E1,0.000000000E0,NaN,4.814791203E0,5.136121750E0
1.060368096E2,5.336070058E1,-6.271504730E0,1.899181130E1,0.000000000E0,NaN,4.764955521E0,5.127963066E0
1.070365237E2,5.336069433E1,-6.271505550E0,1.951268960E1,0.000000000E0,NaN,4.797229290E0,5.232808113E0
1.080366477E2,5.336068521E1,-6.271507250E0,1.888153086E1,0.000000000E0,NaN,5.043228149E0,5.458847046E0
1.090360749E2,5.336068015E1,-6.271508550E0,1.871557920E1,0.000000000E0,NaN,5.132526875E0,5.578575134E0
1.100368582E2,5.336067459E1,-6.271510590E0,1.864703942E1,0.000000000E0,NaN,5.164384842E0,5.583178997E0
1.110367054E2,5.336066892E1,-6.271511920E0,1.868958431E1,0.000000000E0,NaN,4.977801323E0,5.385606766E0
1.120365051E2,5.336066682E1,-6.271517080E0,1.881610753E1,0.000000000E0,NaN,4.918075085E0,5.279803753E0
1.130364354E2,5.336066441E1,-6.271519710E0,1.883270881E1,0.000000000E0,NaN,4.798237801E0,5.110253811E0
1.140365733E2,5.336066423E1,-6.271519360E0,1.884656422E1,0.000000000E0,NaN,4.809371471E0,5.039709091E0
1.150364314E2,5.336066383E1,-6.271519940E0,1.885498691E1,0.000000000E0,NaN,4.570331573E0,4.761742115E0
1.160363199E2,5.336066293E1,-6.271520090E0,1.885358369E1,0.000000000E0,NaN,4.407018661E0,4.459692001E0
1.170360931E2,5.336066276E1,-6.271521510E0,1.868952013E1,0.000000000E0,NaN,4.218033791E0,4.166853905E0
1.180364779E2,5.336066260E1,-6.271521940E0,1.865863611E1,0.000000000E0,NaN,4.051619530E0,3.920849323E0
1.190359488E2,5.336066323E1,-6.271522000E0,1.886115021E1,0.000000000E0,NaN,3.863216162E0,3.582242966E0
1.200367819E2,5.336066360E1,-6.271524230E0,1.880090634E1,0.000000000E0,NaN,3.790092468E0,3.319362402E0
1.210360501E2,5.336066308E1,-6.271523320E0,1.883160820E1,0.000000000E0,NaN,3.790092468E0,3.075389624E0
1.220365863E2,5.336066343E1,-6.271523760E0,1.896490834E1,0.000000000E0,NaN,3.790092468E0,2.899838686E0
1.230365087E2,5.336066353E1,-6.271523270E0,1.903070457E1,0.000000000E0,NaN,3.790092468E0,2.938142061E0
1.240367211E2,5.336066320E1,-6.271523200E0,1.902258721E1,0.000000000E0,NaN,3.790092468E0,2.826278687E0
1.250366763E2,5.336066327E1,-6.271524270E0,1.896795979E1,0.000000000E0,NaN,3.790092468E0,2.776776791E0
1.260366270E2,5.336066341E1,-6.271525440E0,1.890985323E1,0.000000000E0,NaN,3.790092468E0,2.689236879E0
1.270364752E2,5.336066318E1,-6.271525490E0,1.892828599E1,0.000000000E0,NaN,3.790092468E0,2.684975147E0
1.280363222E2,5.336066307E1,-6.271525530E0,1.890332267E1,0.000000000E0,NaN,3.790092468E0,2.519734859E0
1.290360989E2,5.336066280E1,-6.271525630E0,1.888470707E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.300367470E2,5.336066269E1,-6.271525650E0,1.894128673E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.310362273E2,5.336066231E1,-6.271525970E0,1.890002700E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.320366319E2,5.336066196E1,-6.271526110E0,1.893023957E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.330359959E2,5.336066168E1,-6.271526000E0,1.895428773E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.340359832E2,5.336066208E1,-6.271526150E0,1.889197039E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.350368801E2,5.336066133E1,-6.271526130E0,1.894641437E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.360359719E2,5.336066130E1,-6.271526050E0,1.895972012E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
