"Time (s)","Illuminance (lx)"
6.230567567E1,3.454375000E2
6.250565484E1,3.456875000E2
6.270567031E1,3.461875000E2
6.290564900E1,3.461375122E2
6.310564947E1,3.461875000E2
6.330564630E1,3.462375183E2
6.350566114E1,3.460874939E2
6.370564036E1,3.461375122E2
6.390565937E1,3.462375183E2
6.410563822E1,3.463374939E2
6.430565786E1,3.460375061E2
6.450563380E1,3.459875183E2
6.470564687E1,3.456875000E2
6.490563161E1,3.460874939E2
6.510562833E1,3.461875000E2
6.530562713E1,3.461875000E2
6.550564281E1,3.462375183E2
6.570562421E1,3.462875061E2
6.590563770E1,3.461375122E2
6.610562333E1,3.461375122E2
6.630563348E1,3.460375061E2
6.650561343E1,3.459875183E2
6.670562499E1,3.461875000E2
6.690561182E1,3.461875000E2
6.710562234E1,3.461875000E2
6.730560723E1,3.463374939E2
6.750561895E1,3.462875061E2
6.770560218E1,3.462375183E2
6.790561609E1,3.462875061E2
6.810565046E1,3.463875122E2
6.830561052E1,3.460874939E2
6.850559432E1,3.462375183E2
6.870560828E1,3.461875000E2
6.890562442E1,3.460375061E2
6.910559025E1,3.461375122E2
6.930560343E1,3.459875183E2
6.950559802E1,3.460375061E2
6.970559656E1,3.460874939E2
6.990559400E1,3.459875183E2
7.010557833E1,3.459375000E2
7.030557484E1,3.460874939E2
7.050559208E1,3.459875183E2
7.070558848E1,3.458875122E2
7.090558390E1,3.459875183E2
7.110556900E1,3.457875061E2
7.130558604E1,3.458875122E2
7.150556286E1,3.459375000E2
7.170557796E1,3.458374939E2
7.190555770E1,3.458875122E2
7.210555718E1,3.457875061E2
7.230555499E1,3.456375122E2
7.250556895E1,3.457375183E2
7.270554963E1,3.458374939E2
7.290556828E1,3.457375183E2
7.310554880E1,3.457875061E2
7.330556208E1,3.458875122E2
7.350554338E1,3.456875000E2
7.370555546E1,3.458875122E2
7.390553994E1,3.457875061E2
7.410555302E1,3.467875061E2
7.430553525E1,3.143875122E2
7.450555119E1,2.506000061E2
7.470553062E1,7.923750305E1
7.490554718E1,2.282500076E1
7.510554682E1,1.051500015E2
7.530553682E1,1.160625000E2
7.550552432E1,4.131250000E1
7.570553359E1,3.378750229E1
7.590551900E1,2.047624969E2
7.610552968E1,3.537124939E2
7.630551421E1,3.417500000E2
7.650552598E1,2.549875031E2
7.670552187E1,2.935125122E2
7.690552395E1,3.257000122E2
7.710552182E1,3.700500183E2
7.730551885E1,3.756875000E2
7.750553770E1,2.993374939E2
7.770551390E1,2.910249939E2
7.790551692E1,2.981000061E2
7.810549645E1,2.919125061E2
7.830551208E1,3.698500061E2
7.850550880E1,3.696000061E2
7.870550676E1,3.691499939E2
7.890548773E1,3.706499939E2
7.910548606E1,3.709500122E2
7.930548388E1,3.693500061E2
7.950549971E1,3.689624939E2
7.970547908E1,3.672625122E2
7.990549210E1,3.682124939E2
8.010547836E1,3.684624939E2
8.030548695E1,3.682625122E2
8.050547414E1,3.578999939E2
8.070548320E1,3.680625000E2
8.090546919E1,3.698000183E2
8.110546424E1,3.516625061E2
8.130546481E1,2.265875092E2
8.150547716E1,2.683999939E2
8.170545934E1,2.283249969E2
8.190547283E1,8.870000458E1
8.210545700E1,1.883125000E2
8.230546872E1,2.157750092E2
8.250545440E1,2.226999969E2
8.270546804E1,2.232500000E2
8.290544789E1,2.093500061E2
8.310546143E1,2.576375122E2
8.330544424E1,2.459750061E2
8.350545778E1,2.783125000E2
8.370543992E1,2.273874969E2
8.390545434E1,2.043125000E2
8.410543742E1,2.029625092E2
8.430544877E1,2.674500122E2
8.450543273E1,2.846375122E2
8.470544408E1,3.510625000E2
8.490544096E1,3.565500183E2
8.510542919E1,3.597875061E2
8.530542377E1,3.600375061E2
8.550543664E1,3.607375183E2
8.570546841E1,3.605375061E2
8.590541830E1,3.411499939E2
8.610542804E1,3.461375122E2
8.630542710E1,3.443875122E2
8.650542429E1,3.446875000E2
8.670540778E1,3.448875122E2
8.690542200E1,3.452375183E2
8.710541054E1,3.455874939E2
8.730540429E1,3.452375183E2
8.750539966E1,3.450375061E2
8.770541268E1,3.453374939E2
8.790539575E1,3.449875183E2
8.810539513E1,3.447875061E2
8.830539346E1,3.444875183E2
8.850540914E1,3.442875061E2
8.870539200E1,3.440375061E2
8.890539929E1,3.440874939E2
8.910539388E1,3.443374939E2
8.930540054E1,3.446375122E2
8.950537997E1,3.447375183E2
8.970539200E1,3.449375000E2
8.990537768E1,3.448875122E2
9.010537523E1,3.447875061E2
9.030537195E1,3.448875122E2
9.050538856E1,3.422000122E2
9.070537002E1,2.931625061E2
9.090538872E1,2.800125122E2
9.110536721E1,3.300375061E2
9.130537638E1,3.096125183E2
9.150536325E1,2.503625031E2
9.170537299E1,2.277875061E2
9.190535721E1,2.187125092E2
9.210535726E1,2.065500031E2
9.230535263E1,2.090500031E2
9.250536596E1,1.989750061E2
9.270535872E1,2.109375000E2
9.290536299E1,2.189625092E2
9.310537544E1,2.206999969E2
