# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
5.812500000E3,1.606739135E-1
5.835937500E3,2.150022844E-1
5.859375000E3,8.772313131E-2
5.882812500E3,1.014462731E-1
5.906250000E3,1.034019643E-1
5.929687500E3,7.435631120E-2
5.953125000E3,1.533603793E-1
5.976562500E3,3.591365802E-2
6.000000000E3,9.989350484E-2
6.023437500E3,5.977591474E-3
6.046875000E3,2.012539939E-1
6.070312500E3,8.126860125E-2
6.093750000E3,1.709047020E-1
6.117187500E3,1.526109026E-1
6.140625000E3,1.931824435E-1
6.164062500E3,9.148291104E-2
6.187500000E3,7.694605290E-2
6.210937500E3,1.203111108E-1
6.234375000E3,1.078433189E-1
6.257812500E3,1.215511600E-1
6.281250000E3,5.831338136E-2
6.304687500E3,8.141088014E-2
6.328125000E3,1.367378380E-2
6.351562500E3,3.950952728E-2
6.375000000E3,8.729204573E-2
6.398437500E3,1.310620568E-1
6.421875000E3,1.084571488E-1
6.445312500E3,1.200485602E-1
6.468750000E3,8.205627785E-2
6.492187500E3,1.347063889E-1
6.515625000E3,1.082180988E-2
6.539062500E3,1.855180605E-1
6.562500000E3,6.473610381E-2
6.585937500E3,4.820283262E-2
6.609375000E3,8.659013429E-2
6.632812500E3,2.186084382E-1
6.656250000E3,8.081104119E-2
6.679687500E3,1.235588754E-1
6.703125000E3,1.696503291E-1
6.726562500E3,1.957661625E-1
6.750000000E3,1.034090663E-1
6.773437500E3,1.289488156E-1
6.796875000E3,3.237902680E-2
6.820312500E3,1.237612200E-1
6.843750000E3,1.326800525E-1
6.867187500E3,6.150445822E-2
6.890625000E3,7.431493497E-2
6.914062500E3,2.110908095E-1
6.937500000E3,3.099110359E-1
6.960937500E3,1.279606009E-1
6.984375000E3,3.205757032E-2
7.007812500E3,8.112491909E-2
7.031250000E3,2.345183088E-1
7.054687500E3,9.888949754E-2
7.078125000E3,1.378762272E-1
7.101562500E3,9.985580107E-2
7.125000000E3,1.993659227E-1
7.148437500E3,1.849618719E-1
7.171875000E3,5.646225881E-2
7.195312500E3,5.011817786E-2
7.218750000E3,2.524014584E-1
7.242187500E3,1.632646163E-1
7.265625000E3,1.873250019E-1
7.289062500E3,2.354921837E-1
7.312500000E3,2.087671082E-1
7.335937500E3,1.202339968E-1
7.359375000E3,1.979635494E-1
7.382812500E3,1.138547613E-1
7.406250000E3,6.071700863E-2
7.429687500E3,3.148528075E-1
7.453125000E3,1.689334625E-1
7.476562500E3,1.022524255E-1
7.500000000E3,4.357072253E-3
7.523437500E3,7.827508587E-2
7.546875000E3,6.120061585E-2
7.570312500E3,8.509286078E-2
7.593750000E3,1.113368300E-1
7.617187500E3,4.323919022E-2
7.640625000E3,1.724383131E-1
7.664062500E3,6.295322775E-2
7.687500000E3,8.299649047E-2
7.710937500E3,1.567759037E-1
7.734375000E3,3.836792395E-2
7.757812500E3,4.889106504E-2
7.781250000E3,6.551429014E-2
7.804687500E3,8.435889241E-2
7.828125000E3,4.718944228E-2
7.851562500E3,5.350953162E-2
7.875000000E3,5.327827553E-2
7.898437500E3,7.266343891E-3
7.921875000E3,4.209144254E-2
7.945312500E3,1.509064315E-2
7.968750000E3,3.429765183E-2
7.992187500E3,6.630731459E-2
8.015625000E3,4.374347275E-2
8.039062500E3,2.622823069E-2
8.062500000E3,6.133334404E-2
8.085937500E3,5.613146084E-2
8.109375000E3,4.324972057E-2
8.132812500E3,1.664630300E-2
8.156250000E3,4.322805695E-2
8.179687500E3,2.911972094E-2
8.203125000E3,7.967208051E-2
8.226562500E3,4.476354606E-2
8.250000000E3,5.122626508E-2
8.273437500E3,1.476393983E-2
8.296875000E3,3.475721892E-2
8.320312500E3,4.692285460E-2
8.343750000E3,2.922163421E-2
8.367187500E3,2.222881739E-2
8.390625000E3,4.393805288E-2
8.414062500E3,6.925007981E-2
8.437500000E3,4.794709576E-2
8.460937500E3,7.363431728E-2
8.484375000E3,2.827600245E-2
8.507812500E3,1.943497411E-2
8.531250000E3,4.782290243E-2
8.554687500E3,2.779905030E-3
8.578125000E3,2.266256537E-2
8.601562500E3,5.360057773E-2
