"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.211998620E-1,-2.545132935E-1,4.862637520E-1,8.544130325E-1
7.261998620E-1,2.549991906E-1,1.327104568E-1,6.418600082E-1
7.311998620E-1,7.014030814E-1,-2.266840935E-1,5.175008774E-1
7.361998620E-1,9.997963309E-1,-4.484848976E-1,4.636611938E-1
7.411998620E-1,1.079009533E0,-5.644803047E-1,4.683885574E-1
7.461998620E-1,9.574189782E-1,-4.821004868E-1,4.738588333E-1
7.511998620E-1,6.857941747E-1,-2.365198135E-1,3.790187836E-1
7.561998620E-1,3.701277077E-1,6.589126587E-2,3.166294098E-1
7.611998620E-1,7.927481085E-2,2.921676636E-1,2.693090439E-1
7.661998620E-1,-1.437151432E-1,3.846044540E-1,2.219295502E-1
7.711998620E-1,-2.562569380E-1,3.637261391E-1,1.522531509E-1
7.761998620E-1,-3.322730362E-1,2.814917564E-1,2.830791473E-2
7.811998620E-1,-3.625550270E-1,1.629362106E-1,-6.085586548E-2
7.861998620E-1,-3.932751715E-1,2.184872627E-1,-1.712098122E-1
7.911998620E-1,-3.010289669E-1,2.169923782E-1,-2.108888626E-1
7.961998620E-1,-1.585965902E-1,1.170134544E-1,-2.820320129E-1
8.011998620E-1,-1.248785779E-1,2.886247635E-2,-4.063434601E-1
8.061998620E-1,-1.358645558E-1,-2.284049988E-4,-4.872555733E-1
8.111998620E-1,-1.611005068E-1,4.038858414E-2,-4.946498871E-1
8.161998620E-1,-2.253876030E-1,8.004522324E-2,-5.454521179E-1
8.211998620E-1,-2.502966821E-1,4.696702957E-2,-5.201354027E-1
8.261998620E-1,-2.135472596E-1,2.302360535E-2,-5.102691650E-1
8.311998620E-1,-1.350966543E-1,-1.320266724E-2,-4.443445206E-1
8.361998620E-1,-1.773922890E-2,-9.138250351E-2,-4.196166992E-1
8.411998620E-1,1.037641168E-1,-1.627745628E-1,-3.453636169E-1
8.461998620E-1,2.508629560E-1,-2.448182106E-1,-2.626581192E-1
8.511998620E-1,3.840659559E-1,-3.154816628E-1,-1.450176239E-1
8.561998620E-1,4.610909820E-1,-4.196805954E-1,2.347946167E-3
8.611998620E-1,4.987075627E-1,-4.807147980E-1,1.228685379E-1
8.661998620E-1,4.807877839E-1,-4.487304688E-1,1.690769196E-1
8.711998620E-1,3.543537855E-1,-1.741232872E-1,1.899318695E-1
8.761998620E-1,1.699909717E-1,1.679172516E-1,3.201723099E-1
8.811998620E-1,9.394009411E-2,4.167547226E-1,5.046577454E-1
8.861998620E-1,1.331626028E-1,4.772815704E-1,6.371259689E-1
8.911998620E-1,2.064879537E-1,3.480124474E-1,6.626548767E-1
8.961998620E-1,2.846024036E-1,1.271748543E-1,6.744956970E-1
9.011998620E-1,3.212941289E-1,-1.106977463E-2,6.648426056E-1
9.061998620E-1,1.193730459E-1,1.823444366E-1,4.734354019E-1
9.111998620E-1,-7.376876473E-2,3.899273872E-1,5.731744766E-1
9.161998620E-1,-9.945018589E-2,3.828935623E-1,6.060867310E-1
9.211998620E-1,-2.753833681E-2,2.084689140E-1,4.674835205E-1
9.261998620E-1,9.784500301E-2,1.226916313E-1,2.607822418E-1
9.311998620E-1,9.545442462E-2,1.141986847E-1,-9.642887115E-2
9.361998620E-1,-1.153235734E-1,1.269907951E-1,-4.635410309E-1
9.411998620E-1,-6.603430957E-2,1.099138260E-1,-6.209511757E-1
9.461998620E-1,-9.443894029E-3,8.510589600E-3,-6.900415421E-1
9.511998620E-1,1.596766561E-1,-1.795916557E-1,-5.903940201E-1
9.561998620E-1,2.865632176E-1,-4.322304726E-1,-4.066133499E-1
9.611998620E-1,4.547486305E-1,-6.272397041E-1,-2.138957977E-1
9.661998620E-1,7.002511024E-1,-7.746119499E-1,6.118774414E-3
9.711998620E-1,8.530327082E-1,-9.834952354E-1,4.669666290E-2
