"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.126473561E0,-5.172800064E0,-3.827140045E1,-1.638459969E1
2.136473561E0,-5.099599838E0,-3.822259903E1,-1.644560051E1
2.146473561E0,-5.050799847E0,-3.817379761E1,-1.654319954E1
2.156473561E0,-4.977600098E0,-3.819820023E1,-1.664080048E1
2.166473561E0,-4.953199863E0,-3.814939880E1,-1.664080048E1
2.176473561E0,-4.965399742E0,-3.821039963E1,-1.664080048E1
2.186473561E0,-4.904399872E0,-3.821039963E1,-1.673839951E1
2.196473561E0,-4.880000114E0,-3.819820023E1,-1.679940033E1
2.206473561E0,-4.843400002E0,-3.814939880E1,-1.684819984E1
2.216473561E0,-4.867799759E0,-3.823479843E1,-1.697019958E1
2.226473561E0,-4.831200123E0,-3.825920105E1,-1.701899910E1
2.236473561E0,-4.831200123E0,-3.822259903E1,-1.705559921E1
2.246473561E0,-4.794600010E0,-3.825920105E1,-1.712879944E1
2.256473561E0,-4.721399784E0,-3.819820023E1,-1.722640038E1
2.266473561E0,-4.684800148E0,-3.817379761E1,-1.732399940E1
2.276473561E0,-4.635999680E0,-3.828359985E1,-1.737279892E1
2.286473561E0,-4.587199688E0,-3.830799866E1,-1.738500023E1
2.296473561E0,-4.538399696E0,-3.822259903E1,-1.739719963E1
2.306473561E0,-4.489599705E0,-3.818600082E1,-1.742160034E1
2.316473561E0,-4.465199947E0,-3.828359985E1,-1.748259926E1
2.326473561E0,-4.391999722E0,-3.834460068E1,-1.758020020E1
2.336473561E0,-4.379799843E0,-3.833239746E1,-1.765340042E1
2.346473561E0,-4.294399738E0,-3.830799866E1,-1.764119911E1
2.356473561E0,-4.221199989E0,-3.811280060E1,-1.762899971E1
2.366473561E0,-4.074800014E0,-3.796640015E1,-1.779979897E1
2.376473561E0,-3.952800035E0,-3.790539932E1,-1.786079979E1
2.386473561E0,-3.867399931E0,-3.781999969E1,-1.789739990E1
2.396473561E0,-3.769799948E0,-3.760039902E1,-1.804380035E1
2.406473561E0,-3.696599960E0,-3.740520096E1,-1.823900032E1
2.416473561E0,-3.598999977E0,-3.728319931E1,-1.847080040E1
2.426473561E0,-3.525799990E0,-3.724660110E1,-1.864159966E1
2.436473561E0,-3.489199877E0,-3.724660110E1,-1.887339973E1
2.446473561E0,-3.501399994E0,-3.730759811E1,-1.904419899E1
2.456473561E0,-3.525799990E0,-3.720999908E1,-1.916619873E1
2.466473561E0,-3.476999998E0,-3.712459946E1,-1.942239952E1
2.476473561E0,-3.440399885E0,-3.711240005E1,-1.954439926E1
2.486473561E0,-3.391599894E0,-3.707579803E1,-1.961759949E1
2.496473561E0,-3.379400015E0,-3.701480103E1,-1.975180054E1
2.506473561E0,-3.367199898E0,-3.691719818E1,-1.989819908E1
2.516473561E0,-3.355000019E0,-3.681959915E1,-1.999580002E1
2.526473561E0,-3.355000019E0,-3.672200012E1,-1.997139931E1
2.536473561E0,-3.318399906E0,-3.672200012E1,-2.014220047E1
2.546473561E0,-3.330600023E0,-3.675859833E1,-2.014220047E1
2.556473561E0,-3.220799923E0,-3.674639893E1,-2.014220047E1
2.566473561E0,-3.208600044E0,-3.677079773E1,-2.016659927E1
2.576473561E0,-3.123199940E0,-3.684399796E1,-2.011779976E1
2.586473561E0,-3.001199961E0,-3.683179855E1,-2.011779976E1
2.596473561E0,-2.854799986E0,-3.681959915E1,-2.016659927E1
2.606473561E0,-2.720599890E0,-3.684399796E1,-2.032519913E1
2.616473561E0,-2.549799919E0,-3.681959915E1,-2.034959984E1
2.626473561E0,-2.366800070E0,-3.677079773E1,-2.042280006E1
2.636473561E0,-2.305799961E0,-3.684399796E1,-2.053260040E1
2.646473561E0,-2.183799982E0,-3.684399796E1,-2.056920052E1
2.656473561E0,-2.098399878E0,-3.681959915E1,-2.066679955E1
