# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.213515531E0,7.527400017E0,1.762899971E1,-2.919459915E1,3.492517719E1
1.223515531E0,7.551799774E0,1.750699997E1,-2.925559998E1,3.492012110E1
1.233515531E0,7.612799644E0,1.737279892E1,-2.935319901E1,3.494823533E1
1.243515531E0,7.576200008E0,1.728739929E1,-2.941419983E1,3.494922220E1
1.253515531E0,7.563999653E0,1.727519989E1,-2.943859863E1,3.496108853E1
1.263515531E0,7.612799644E0,1.727519989E1,-2.947519875E1,3.500249407E1
1.273515531E0,7.673799992E0,1.727519989E1,-2.952400017E1,3.505690122E1
1.283515531E0,7.649399757E0,1.728739929E1,-2.951179886E1,3.504730750E1
1.293515531E0,7.734799862E0,1.737279892E1,-2.946299934E1,3.506721548E1
1.303515531E0,7.783599854E0,1.749480057E1,-2.932880020E1,3.502614730E1
1.313515531E0,7.795799732E0,1.760459900E1,-2.921899986E1,3.499208985E1
1.323515531E0,7.795799732E0,1.765340042E1,-2.917020035E1,3.497595786E1
1.333515531E0,7.832399845E0,1.760459900E1,-2.921899986E1,3.500026209E1
1.343515531E0,7.844599724E0,1.762899971E1,-2.924339867E1,3.503563530E1
1.353515531E0,7.783599854E0,1.759239960E1,-2.924339867E1,3.500361861E1
1.363515531E0,7.771399975E0,1.755579948E1,-2.926779938E1,3.500292607E1
1.373515531E0,7.722599983E0,1.749480057E1,-2.929220009E1,3.498198941E1
1.383515531E0,7.685999870E0,1.745820045E1,-2.929220009E1,3.495563393E1
1.393515531E0,7.649399757E0,1.744599915E1,-2.935319901E1,3.499266344E1
1.403515531E0,7.612799644E0,1.744599915E1,-2.935319901E1,3.498468088E1
1.413515531E0,7.551799774E0,1.740939903E1,-2.930439949E1,3.491224261E1
1.423515531E0,7.539599895E0,1.740939903E1,-2.935319901E1,3.495057987E1
1.433515531E0,7.600599766E0,1.742160034E1,-2.935319901E1,3.496986656E1
1.443515531E0,7.637199879E0,1.745820045E1,-2.942639923E1,3.505750357E1
1.453515531E0,7.649399757E0,1.749480057E1,-2.937759972E1,3.503747606E1
1.463515531E0,7.649399757E0,1.750699997E1,-2.932880020E1,3.500266970E1
1.473515531E0,7.698199749E0,1.760459900E1,-2.919459915E1,3.495009020E1
1.483515531E0,7.807999611E0,1.764119911E1,-2.924339867E1,3.503360001E1
1.493515531E0,7.856800079E0,1.761680031E1,-2.929220009E1,3.507298029E1
1.503515531E0,7.856800079E0,1.759239960E1,-2.924339867E1,3.501996854E1
1.513515531E0,7.832399845E0,1.762899971E1,-2.918239975E1,3.498200356E1
1.523515531E0,7.807999611E0,1.755579948E1,-2.917020035E1,3.492952250E1
1.533515531E0,7.734799862E0,1.753139877E1,-2.921899986E1,3.494176619E1
1.543515531E0,7.783599854E0,1.749480057E1,-2.931659889E1,3.501593129E1
1.553515531E0,7.759199619E0,1.745820045E1,-2.937759972E1,3.504336324E1
1.563515531E0,7.710399628E0,1.747039986E1,-2.932880020E1,3.499776643E1
1.573515531E0,7.685999870E0,1.759239960E1,-2.923119926E1,3.497184765E1
1.583515531E0,7.710399628E0,1.766559982E1,-2.920679855E1,3.499372460E1
1.593515531E0,7.759199619E0,1.769000053E1,-2.925559998E1,3.505754452E1
1.603515531E0,7.783599854E0,1.784860039E1,-2.912139893E1,3.503159771E1
1.613515531E0,7.856800079E0,1.797060013E1,-2.901159859E1,3.501920372E1
1.623515531E0,7.893399715E0,1.808040047E1,-2.899939919E1,3.507380494E1
1.633515531E0,7.929999828E0,1.805599976E1,-2.893840027E1,3.501906673E1
1.643515531E0,7.942199707E0,1.805599976E1,-2.890180016E1,3.499159493E1
1.653515531E0,7.966599941E0,1.811700058E1,-2.888959885E1,3.501858572E1
1.663515531E0,7.966599941E0,1.811700058E1,-2.895059967E1,3.506892707E1
1.673515531E0,7.954400063E0,1.805599976E1,-2.893840027E1,3.502460018E1
1.683515531E0,7.966599941E0,1.799499893E1,-2.893840027E1,3.499596707E1
1.693515531E0,7.942199707E0,1.795839882E1,-2.895059967E1,3.498170730E1
1.703515531E0,7.868999958E0,1.793400002E1,-2.891399956E1,3.492232649E1
1.713515531E0,7.795799732E0,1.794619942E1,-2.895059967E1,3.494249259E1
1.723515531E0,7.783599854E0,1.795839882E1,-2.897500038E1,3.496625748E1
1.733515531E0,7.722599983E0,1.793400002E1,-2.901159859E1,3.497055561E1
1.743515531E0,7.685999870E0,1.798279953E1,-2.896279907E1,3.494709434E1
1.753515531E0,7.600599766E0,1.809259987E1,-2.891399956E1,3.494467996E1
1.763515531E0,7.563999653E0,1.826339912E1,-2.893840027E1,3.504563951E1
1.773515531E0,7.588399887E0,1.836100006E1,-2.893840027E1,3.510186813E1
1.783515531E0,7.625000000E0,1.849519920E1,-2.891399956E1,3.516009654E1
1.793515531E0,7.637199879E0,1.864159966E1,-2.884079933E1,3.517993414E1
1.803515531E0,7.612799644E0,1.881239891E1,-2.875539970E1,3.519565432E1
1.813515531E0,7.661599636E0,1.894659996E1,-2.870660019E1,3.523836905E1
1.823515531E0,7.673799992E0,1.908079910E1,-2.867000008E1,3.528360816E1
1.833515531E0,7.698199749E0,1.911739922E1,-2.859679985E1,3.524931480E1
1.843515531E0,7.685999870E0,1.912960052E1,-2.856019974E1,3.522358896E1
1.853515531E0,7.673799992E0,1.917840004E1,-2.848699951E1,3.518817096E1
1.863515531E0,7.649399757E0,1.919059944E1,-2.841379929E1,3.513027773E1
1.873515531E0,7.625000000E0,1.921500015E1,-2.845039940E1,3.516791267E1
1.883515531E0,7.612799644E0,1.915399933E1,-2.846259880E1,3.514185452E1
1.893515531E0,7.600599766E0,1.912960052E1,-2.838939857E1,3.506663207E1
1.903515531E0,7.588399887E0,1.909300041E1,-2.836499977E1,3.502427286E1
1.913515531E0,7.600599766E0,1.912960052E1,-2.842599869E1,3.509626952E1
1.923515531E0,7.612799644E0,1.914179993E1,-2.840159988E1,3.508581051E1
1.933515531E0,7.576200008E0,1.914179993E1,-2.847480011E1,3.513718191E1
1.943515531E0,7.551799774E0,1.915399933E1,-2.857239914E1,3.521771376E1
1.953515531E0,7.588399887E0,1.915399933E1,-2.856019974E1,3.521568560E1
1.963515531E0,7.576200008E0,1.915399933E1,-2.853579903E1,3.519327099E1
1.973515531E0,7.563999653E0,1.914179993E1,-2.862119865E1,3.525330634E1
1.983515531E0,7.588399887E0,1.916619873E1,-2.863339996E1,3.528170319E1
1.993515531E0,7.515199661E0,1.915399933E1,-2.862119865E1,3.524949544E1
2.003515531E0,7.466399670E0,1.915399933E1,-2.868219948E1,3.528868631E1
2.013515531E0,7.478600025E0,1.919059944E1,-2.873099899E1,3.535079728E1
2.023515531E0,7.466399670E0,1.915399933E1,-2.871879959E1,3.531844085E1
2.033515531E0,7.417599678E0,1.915399933E1,-2.879199982E1,3.536772157E1
2.043515531E0,7.454199791E0,1.919059944E1,-2.880419922E1,3.540517044E1
2.053515531E0,7.441999912E0,1.920279884E1,-2.875539970E1,3.536953291E1
2.063515531E0,7.417599678E0,1.912960052E1,-2.875539970E1,3.532471392E1
2.073515531E0,7.478600025E0,1.909300041E1,-2.880419922E1,3.535751710E1
2.083515531E0,7.527400017E0,1.910519981E1,-2.880419922E1,3.537445835E1
2.093515531E0,7.539599895E0,1.905640030E1,-2.868219948E1,3.525139041E1
2.103515531E0,7.551799774E0,1.906859970E1,-2.867000008E1,3.525067487E1
2.113515531E0,7.637199879E0,1.908079910E1,-2.858459854E1,3.520629191E1
2.123515531E0,7.661599636E0,1.904419899E1,-2.857239914E1,3.518186488E1
2.133515531E0,7.710399628E0,1.903199959E1,-2.859679985E1,3.520574147E1
2.143515531E0,7.746999741E0,1.903199959E1,-2.858459854E1,3.520386750E1
2.153515531E0,7.771399975E0,1.905640030E1,-2.856019974E1,3.520264278E1
2.163515531E0,7.759199619E0,1.901980019E1,-2.858459854E1,3.519996096E1
2.173515531E0,7.783599854E0,1.905640030E1,-2.864559937E1,3.527465354E1
2.183515531E0,7.759199619E0,1.905640030E1,-2.867000008E1,3.528909854E1
2.193515531E0,7.722599983E0,1.900759888E1,-2.874320030E1,3.531428789E1
2.203515531E0,7.734799862E0,1.901980019E1,-2.877979851E1,3.535331286E1
2.213515531E0,7.685999870E0,1.900759888E1,-2.876759911E1,3.532616831E1
2.223515531E0,7.649399757E0,1.903199959E1,-2.877979851E1,3.534129493E1
2.233515531E0,7.576200008E0,1.901980019E1,-2.880419922E1,3.533883838E1
2.243515531E0,7.563999653E0,1.900759888E1,-2.875539970E1,3.528988407E1
2.253515531E0,7.527400017E0,1.898320007E1,-2.874320030E1,3.525897332E1
2.263515531E0,7.515199661E0,1.898320007E1,-2.875539970E1,3.526631712E1
